"","species","gbifID","class","order","family","genus","decimalLatitude","decimalLongitude","depth","eventDate","day","month","year","SpiculeTypes"
"444567","Aaptos simplex","2557602376","Demospongiae","Suberitida","Suberitidae","Aaptos","51.622","-177.239",155,"2004-07-02T00:00:00",2,7,2004,2
"447299","Achramorpha nivalis","1890481323","Calcarea","Leucosolenida","Achramorphidae","Achramorpha","-67.382","-179.872167",438,"2008-03-07T00:00:00",7,3,2008,5
"456196","Amphimedon anastomosa","4055758103","Demospongiae","Haplosclerida","Niphatidae","Amphimedon","1.595833","124.833333",20,"2005-01-17T00:00:00",17,1,2005,1
"456197","Amphimedon anastomosa","4055762105","Demospongiae","Haplosclerida","Niphatidae","Amphimedon","1.595833","124.833333",20,"2005-01-17T00:00:00",17,1,2005,1
"497370","Ascandra spalatensis","4055740297","Calcarea","Clathrinida","Leucaltidae","Ascandra","44.174444","15.210556",1,"2011-02-13T00:00:00",13,2,2011,4
"506827","Bathydorus poculum","4055743264","Hexactinellida","Lyssacinosida","Rossellidae","Bathydorus","-35.612","178.852",1150,"2017-02-24T00:00:00",24,2,2017,6
"509270","Bolosoma perezi","4020290874","Hexactinellida","Lyssacinosida","Euplectellidae","Bolosoma","-31.1176","-34.0302",1017.5,"2011-07-07T00:00:00",7,7,2011,4
"509271","Bolosoma perezi","4055736632","Hexactinellida","Lyssacinosida","Euplectellidae","Bolosoma","-31.1175","-34.030278",1017.5,"2011-07-07T00:00:00",7,7,2011,4
"509335","Borojevia croatica","4055740295","Calcarea","Clathrinida","Clathrinidae","Borojevia","43.482778","16.356944",5,"2010-11-05T00:00:00",5,11,2010,4
"519285","Chonelasma choanoides","3855696359","Hexactinellida","Sceptrulophora","Euretidae","Chonelasma","10.382","-76.325",2397,"2015-10-02T00:00:00",2,10,2015,6
"519290","Chonelasma choanoides","1890481001","Hexactinellida","Sceptrulophora","Euretidae","Chonelasma","-71.8557","174.033",1972,"2008-02-25T00:00:00",25,2,2008,6
"519295","Chonelasma choanoides","3855696321","Hexactinellida","Sceptrulophora","Euretidae","Chonelasma","10.386","-76.32",2372,"2015-10-02T00:00:00",2,10,2015,6
"519298","Chonelasma choanoides","1890481607","Hexactinellida","Sceptrulophora","Euretidae","Chonelasma","-67.060167","170.966167",479.5,"2008-03-14T00:00:00",14,3,2008,6
"519304","Chonelasma choanoides","1890480877","Hexactinellida","Sceptrulophora","Euretidae","Chonelasma","-72.073","175.5855",1637,"2008-02-22T00:00:00",22,2,2008,6
"519308","Chonelasma choanoides","3855696343","Hexactinellida","Sceptrulophora","Euretidae","Chonelasma","10.377","-76.31",2223,"2015-10-02T00:00:00",2,10,2015,6
"519309","Chonelasma choanoides","1890481320","Hexactinellida","Sceptrulophora","Euretidae","Chonelasma","-67.370667","179.9805",1432.5,"2008-03-08T00:00:00",8,3,2008,6
"519310","Chonelasma choanoides","1890480853","Hexactinellida","Sceptrulophora","Euretidae","Chonelasma","-72.073","175.5855",1637,"2008-02-22T00:00:00",22,2,2008,6
"519311","Chonelasma choanoides","1890481579","Hexactinellida","Sceptrulophora","Euretidae","Chonelasma","-67.168","171.179",634,"2008-03-14T00:00:00",14,3,2008,6
"519312","Chonelasma choanoides","3855696325","Hexactinellida","Sceptrulophora","Euretidae","Chonelasma","10.382","-76.306",2232,"2015-10-02T00:00:00",2,10,2015,6
"532099","Cliona californiana","1418662942","Demospongiae","Clionaida","Clionaidae","Cliona","25.5925","-109.044167",2,"2002-11-12T00:00:00",12,11,2002,2
"532104","Cliona californiana","1418662431","Demospongiae","Clionaida","Clionaidae","Cliona","31.043611","-114.805",3,"2012-09-07T00:00:00",7,9,2012,2
"532119","Cliona californiana","1418661610","Demospongiae","Clionaida","Clionaidae","Cliona","18.348889","-103.509167",4,"2005-07-24T00:00:00",24,7,2005,2
"532120","Cliona californiana","1418662496","Demospongiae","Clionaida","Clionaidae","Cliona","21.850556","-105.896111",2.5,"2005-08-02T00:00:00",2,8,2005,2
"532124","Cliona californiana","1418662004","Demospongiae","Clionaida","Clionaidae","Cliona","28.786667","-112.251667",7.5,"2001-04-27T00:00:00",27,4,2001,2
"532125","Cliona californiana","1418662436","Demospongiae","Clionaida","Clionaidae","Cliona","23.184722","-106.401944",3,"2003-11-26T00:00:00",26,11,2003,2
"532128","Cliona californiana","1418663120","Demospongiae","Clionaida","Clionaidae","Cliona","28.872222","-112.033611",1.5,"2000-11-08T00:00:00",8,11,2000,2
"532133","Cliona californiana","1418663438","Demospongiae","Clionaida","Clionaidae","Cliona","26.643889","-111.831389",4.5,"2006-10-29T00:00:00",29,10,2006,2
"532147","Cliona californiana","1418662319","Demospongiae","Clionaida","Clionaidae","Cliona","25.581944","-109.114444",1,"2000-06-21T00:00:00",21,6,2000,2
"532151","Cliona californiana","1418661659","Demospongiae","Clionaida","Clionaidae","Cliona","23.187778","-106.419722",3,"2003-10-22T00:00:00",22,10,2003,2
"532157","Cliona californiana","1418662455","Demospongiae","Clionaida","Clionaidae","Cliona","23.258056","-106.473611",1.5,"2002-02-26T00:00:00",26,2,2002,2
"532158","Cliona californiana","1418661998","Demospongiae","Clionaida","Clionaidae","Cliona","23.183056","-106.44",4,"2003-10-24T00:00:00",24,10,2003,2
"532167","Cliona californiana","1418663905","Demospongiae","Clionaida","Clionaidae","Cliona","28.898611","-113.523333",2.5,"2012-09-14T00:00:00",14,9,2012,2
"532172","Cliona californiana","1418663197","Demospongiae","Clionaida","Clionaidae","Cliona","25.540833","-109.091389",0.5,"2002-11-13T00:00:00",13,11,2002,2
"532178","Cliona californiana","1418663423","Demospongiae","Clionaida","Clionaidae","Cliona","26.643889","-111.831389",2,"2012-09-15T00:00:00",15,9,2012,2
"532181","Cliona californiana","1418663226","Demospongiae","Clionaida","Clionaidae","Cliona","25.540833","-109.091389",0.5,"2002-11-13T00:00:00",13,11,2002,2
"532185","Cliona californiana","1418663434","Demospongiae","Clionaida","Clionaidae","Cliona","26.643889","-111.831389",4,"2010-06-09T00:00:00",9,6,2010,2
