"","X","species","gbifID","class","order","family","genus","decimalLatitude","decimalLongitude","depth","eventDate","day","month","year","SpiculeTypes","ph","silica","temperature"
"1",444567,"Aaptos simplex",2557602376,"Demospongiae","Suberitida","Suberitidae","Aaptos",51.622,-177.239,155,"2004-07-02T00:00:00",2,7,2004,2,7.69200158119202,57.4325332641602,1.30457474291325
"2",444571,"Aaptos simplex",1898309216,"Demospongiae","Suberitida","Suberitidae","Aaptos",53.467,-127.858,535,"1982-10-26T00:00:00",26,10,1982,2,NA,NA,7.49262979254127
"3",447299,"Achramorpha nivalis",1890481323,"Calcarea","Leucosolenida","Achramorphidae","Achramorpha",-67.382,-179.872167,438,"2008-03-07T00:00:00",7,3,2008,5,7.96692752838135,106.960311889648,0.105563543736935
"4",456196,"Amphimedon anastomosa",4055758103,"Demospongiae","Haplosclerida","Niphatidae","Amphimedon",1.595833,124.833333,20,"2005-01-17T00:00:00",17,1,2005,1,8.0549430847168,3.57772302627563,3.08880887925625
"5",456197,"Amphimedon anastomosa",4055762105,"Demospongiae","Haplosclerida","Niphatidae","Amphimedon",1.595833,124.833333,20,"2005-01-17T00:00:00",17,1,2005,1,8.0549430847168,3.57772302627563,3.08880887925625
"6",497370,"Ascandra spalatensis",4055740297,"Calcarea","Clathrinida","Leucaltidae","Ascandra",44.174444,15.210556,1,"2011-02-13T00:00:00",13,2,2011,4,8.10590982437134,10.5509943962097,13.9458296522498
"7",506827,"Bathydorus poculum",4055743264,"Hexactinellida","Lyssacinosida","Rossellidae","Bathydorus",-35.612,178.852,1150,"2017-02-24T00:00:00",24,2,2017,6,7.86098313331604,45.5043773651123,1.89345990121365
"8",509270,"Bolosoma perezi",4020290874,"Hexactinellida","Lyssacinosida","Euplectellidae","Bolosoma",-31.1176,-34.0302,1017.5,"2011-07-07T00:00:00",7,7,2011,4,7.87518882751465,41.4694442749023,2.77166052907705
"9",509271,"Bolosoma perezi",4055736632,"Hexactinellida","Lyssacinosida","Euplectellidae","Bolosoma",-31.1175,-34.030278,1017.5,"2011-07-07T00:00:00",7,7,2011,4,7.87518882751465,41.4694442749023,2.77166052907705
"10",509335,"Borojevia croatica",4055740295,"Calcarea","Clathrinida","Clathrinidae","Borojevia",43.482778,16.356944,5,"2010-11-05T00:00:00",5,11,2010,4,8.09950017929077,4.92432141304016,14.0725425034761
"11",519285,"Chonelasma choanoides",3855696359,"Hexactinellida","Sceptrulophora","Euretidae","Chonelasma",10.382,-76.325,2397,"2015-10-02T00:00:00",2,10,2015,6,7.88353180885315,30.3606748580933,3.8608050942421
"12",519287,"Chonelasma choanoides",2557197175,"Hexactinellida","Sceptrulophora","Euretidae","Chonelasma",31.5,-77,2200,"1989-09-16T00:00:00",16,9,1989,6,7.95448565483093,15.846257686615,3.56160162761807
"13",519290,"Chonelasma choanoides",1890481001,"Hexactinellida","Sceptrulophora","Euretidae","Chonelasma",-71.8557,174.033,1972,"2008-02-25T00:00:00",25,2,2008,6,7.90040373802185,100.69189453125,0.251319944858551
"14",519295,"Chonelasma choanoides",3855696321,"Hexactinellida","Sceptrulophora","Euretidae","Chonelasma",10.386,-76.32,2372,"2015-10-02T00:00:00",2,10,2015,6,7.88353180885315,30.3606748580933,3.8608050942421
"15",519298,"Chonelasma choanoides",1890481607,"Hexactinellida","Sceptrulophora","Euretidae","Chonelasma",-67.060167,170.966167,479.5,"2008-03-14T00:00:00",14,3,2008,6,7.9640793800354,105.405361175537,0.121677316725254
"16",519304,"Chonelasma choanoides",1890480877,"Hexactinellida","Sceptrulophora","Euretidae","Chonelasma",-72.073,175.5855,1637,"2008-02-22T00:00:00",22,2,2008,6,7.91262626647949,99.2984504699707,0.310647927224636
"17",519308,"Chonelasma choanoides",3855696343,"Hexactinellida","Sceptrulophora","Euretidae","Chonelasma",10.377,-76.31,2223,"2015-10-02T00:00:00",2,10,2015,6,7.87095737457275,30.3251857757568,3.8608050942421
"18",519309,"Chonelasma choanoides",1890481320,"Hexactinellida","Sceptrulophora","Euretidae","Chonelasma",-67.370667,179.9805,1432.5,"2008-03-08T00:00:00",8,3,2008,6,7.92778038978577,112.027404785156,0.0813928842544556
"19",519310,"Chonelasma choanoides",1890480853,"Hexactinellida","Sceptrulophora","Euretidae","Chonelasma",-72.073,175.5855,1637,"2008-02-22T00:00:00",22,2,2008,6,7.91262626647949,99.2984504699707,0.310647927224636
"20",519311,"Chonelasma choanoides",1890481579,"Hexactinellida","Sceptrulophora","Euretidae","Chonelasma",-67.168,171.179,634,"2008-03-14T00:00:00",14,3,2008,6,7.95717406272888,107.231048583984,0.123142205178738
"21",519312,"Chonelasma choanoides",3855696325,"Hexactinellida","Sceptrulophora","Euretidae","Chonelasma",10.382,-76.306,2232,"2015-10-02T00:00:00",2,10,2015,6,7.87095737457275,30.3251857757568,3.8608050942421
"22",532099,"Cliona californiana",1418662942,"Demospongiae","Clionaida","Clionaidae","Cliona",25.5925,-109.044167,2,"2002-11-12T00:00:00",12,11,2002,2,8.01152420043945,3.37682807445526,6.33426924794912
"23",532104,"Cliona californiana",1418662431,"Demospongiae","Clionaida","Clionaidae","Cliona",31.043611,-114.805,3,"2012-09-07T00:00:00",7,9,2012,2,8.06327533721924,3.95806694030762,17.5523850247264
"24",532119,"Cliona californiana",1418661610,"Demospongiae","Clionaida","Clionaidae","Cliona",18.348889,-103.509167,4,"2005-07-24T00:00:00",24,7,2005,2,8.0144567489624,2.32095158100128,1.64003419876099
"25",532120,"Cliona californiana",1418662496,"Demospongiae","Clionaida","Clionaidae","Cliona",21.850556,-105.896111,2.5,"2005-08-02T00:00:00",2,8,2005,2,8.00545501708984,3.48097515106201,11.6840418800712
"26",532124,"Cliona californiana",1418662004,"Demospongiae","Clionaida","Clionaidae","Cliona",28.786667,-112.251667,7.5,"2001-04-27T00:00:00",27,4,2001,2,8.04452133178711,3.38336396217346,11.4928739368916
"27",532125,"Cliona californiana",1418662436,"Demospongiae","Clionaida","Clionaidae","Cliona",23.184722,-106.401944,3,"2003-11-26T00:00:00",26,11,2003,2,8.00530958175659,3.55495095252991,11.7712027430534
"28",532128,"Cliona californiana",1418663120,"Demospongiae","Clionaida","Clionaidae","Cliona",28.872222,-112.033611,1.5,"2000-11-08T00:00:00",8,11,2000,2,8.04218673706055,3.34136879444122,12.0195013359189
"29",532133,"Cliona californiana",1418663438,"Demospongiae","Clionaida","Clionaidae","Cliona",26.643889,-111.831389,4.5,"2006-10-29T00:00:00",29,10,2006,2,8.02666711807251,2.80344939231873,5.40223396942019
