taxon	min_age	max_age
Aaptos_simplex	0	0
Acanthotetilla_celebensis	0	0
Achramorpha_nivalis	0	0
Aciculites_orientalis	0	0
Acutipuerilis_spinosus	453	458.4
Amorphinopsis_fenestrata	0	0
Amphimedon_anastomosa	0	0
Amphimedon_chloros	0	0
Amphoriscus_semoni	0	0
Anaderma_rancureli	0	0
Anamixilla_torresi	0	0
Aphrocallistes_beatrix	0	0
Arthuria_tenuipilosa	0	0
Asbestopluma_hypogea	0	0
Ascaltis_angusta	0	0
Ascandra_spalatensis	0	0
Ascoleucetta_sagittata	0	0
Aspidoscopulia_australia	0	0
Asthenospongia_cambria	453	458.4
Asturiaspongia_aqualiforma	393.3	407.6
Astylospongia_tarda	410.8	419.2
Axinella_carteri	0	0
Axociella_ongulensis	0.002	0.03
Bactronella_australis	11.608	23.03
Bactronella_incrustans	38	41.3
Bactronella_womblei	38	41.3
Bathydorus_poculum	0	0
Becksia_soekelandi	72.1	83.6
Bolosoma_perezi	0	0
Borojevia_croatica	0	0
Brachiospongia_digitata	449.5	460.9
Burtonulla_sibogae	0	0
Callyspongia_armigera	0	0
Chalinula_zeae	0	0
Chiastocolumnia_cylindrica	259.9	265.1
Choia_utahensis	520	535
Chonelasma_choanoides	0	0
Cinachyra_barbata	0	0
Ciocalypta_penicillus	0	0
Clathria_collosclera	0	0
Clathrina_primordialis	0	0
Claytonia_rayi	38	41.3
Cliona_californiana	0	0
Cliona_lobata	0	0
Conciliospongia_anjiensis	444	444
Conorete_pourtalesi	0	0
Corticium_vaceleti	0	0
Crumillospongia_frondosa	505	513
Cyclacanthia_bellae	0	0
Cymbastela_cantharella	0	0
Cystospongia_globosa	517.32	518.74
Dactylites_obconica	259.9	265.1
Darwinella_muelleri	0	0
Defordia_digitata	272.3	279.3
Diagoniella_cyathiformis	520	535
Dictyoplax_lecus	0	0
Didiscus_oxeatus	0	0
Dragmacidon_australe	0	0
Endostoma_mexicana	100.5	113
Ernstia_indonesiae	0	0
Estrellaspongia_irregulara	326.4	339.4
Euplectella_gibbsa	0	0
Eurete_atlantica	0	0
Euryplegma_auriculare	0	0
Farrea_bowerbanki	0	0
Galaxia_gaviotensis	0	0
Geodia_harmatuki	38	41.3
Grantessa_borojevici	0	0
Grantia_compressa	0	0
Granulispongia_obscura	453	458.4
Hadrophragmos_soleniscus	315.2	323.2
Halichondria_longioxea	0.002	0.03
Haliclona_cinerea	0	0
Haljalaspongia_inaudita	455.8	460.9
Hamptonia_chengjiangensis	517.32	518.74
Haplistion_lobatum	410.8	419.2
Hazelina_bisbifurcata	38	41.3
Heliospongia_excavata	315.2	323.2
Heminectere_minima	453	458.4
Herengeria_auriculata	0	0
Heteropia_minor	0	0
Heteroxya_beauforti	0	0
Hexactinella_carolinensis	0	0
Hexactinoderma_trammeri	242	247.2
Higginsia_anfractuosa	0	0
Hintzespongia_bilamina	505	513
Holascus_pseudostellatus	0	0
Homaxinella_amphispicula	0	0
Hormathospongia_dictyota	83.5	85.8
Hyalosinica_archaica	520	535
Hymedesmia_anatoliensis	0	0
Hymeniacidon_perlevis	0	0
Iberospongia_globulara	391.9	409.1
Incrustatospongia_superficiala	254.17	259.9
Iophon_koltuni	0	0
Iotrochota_birotulata	0	0
Ischnspongia_dendritica	517.32	518.74
Isodictya_filiformis	0	0
Janulum_spinispiculum	0	0
Jereica_tuberculosa	163.5	166.1
Jereina_robusta	272.3	279.3
Kebira_tetractinifera	0	0
Kirkpatrickia_coulmani	0	0
Lantianospongia_palifera	520	535
Lelapiella_sphaerulifera	0	0
Leucaltis_nodusgordii	0	0
Leucandra_falakra	0	0
Leucascus_flavus	0	0
Leucetta_chagosensis	0	0
Leucilla_australiensis	0	0
Leuclathrina_translucida	0	0
Lissodendoryx_flabellata	0	0
Lophocalyx_reiswigi	0	0
Mammillopora_encrusta	109	112.03
Megapogon_raripilus	0	0
Microhemidiscia_greinerti	290.1	298.9
Monaxoradiata_lamina	259.9	265.1
Monoplectroninia_malonei	11.608	23.03
Murania_reitneri	145	163.5
Myrmekioderma_granulata	0	0
Neofibularia_chinensis	0	0
Neopetrosia_proxima	0	0
Neoschrammeniella_norfolkii	0	0
Niphates_rowi	0	0
Nodastrella_nodastrella	0	0
Nubes_poculiformis	0	0
Paracinachyrella_fossilis	15.97	20.44
Paraleucilla_magna	0	0
Pericharax_orientalis	0	0
Periphragella_antarctica	0	0
Petrobiona_massiliana	0	0
Petrosia_spheroida	0	0
Phakellia_pulcherrima	0	0
Pheronema_amphorae	0	0
Pheronemoides_crustiformis	0	0
Phorbas_glaberrimus	0	0
Pione_gibraltarensis	0	0
Pirania_auraeum	477.7	485.4
Pirania_llanfawrensis	453	458.4
Plakina_finispinata	0	0
Plakinastrella_nicoleae	0	0
Plakinastrella_osculifera	0	0
Plakinastrella_pseudolopha	0	0
Plakortis_ruetzleri	0	0
Platylistrum_subviridum	0	0
Plectroninia_celtica	0	0
Plectroninia_halli	11.608	23.03
Plectroninia_pertusa	38	41.3
Plenaster_craigi	0	0
Poecillastra_compressa	0	0
Poliopogon_amadou	0	0
Poliopogon_canaliculatus	0	0
Polymastia_kurilensis	0	0
Polymastia_pachymastia	0	0
Porosphaera_globularis	93.5	99.6
Prosuberites_saanichensis	0	0
Protospongia_gracilis	520	535
Protosuberites_mereui	0	0
Ptilispongia_maotianshanensis	517.32	518.74
