,X,gbifID,class,order,family,genus,species,decimalLatitude,decimalLongitude,depth,eventDate,day,month,year,spicules,newdepth,npoints_newdepth
1,28,1100857101,Demospongiae,Verongiida,Ianthellidae,Anomoianthella,Anomoianthella popeae,-29.266,114.916,NA,1979-04-23T00:00:00,23,4,1979,0,NA,NA
2,11107,1100857370,Demospongiae,Verongiida,Ianthellidae,Anomoianthella,Anomoianthella popeae,-29.266,114.916,NA,1979-04-23T00:00:00,23,4,1979,0,NA,NA
3,373597,1100857338,Demospongiae,Verongiida,Ianthellidae,Anomoianthella,Anomoianthella popeae,-29.266,114.916,NA,1979-04-23T00:00:00,23,4,1979,0,NA,NA
4,652174,1085960219,Demospongiae,Verongiida,Ianthellidae,Anomoianthella,Anomoianthella popeae,-11.190167,129.716833,NA,1987-08-13T00:00:00,13,8,1987,0,NA,NA
5,652190,1085962199,Demospongiae,Verongiida,Ianthellidae,Anomoianthella,Anomoianthella popeae,-12.497667,130.885667,NA,2002-08-20T00:00:00,20,8,2002,0,NA,NA
6,653058,728020935,Demospongiae,Verongiida,Ianthellidae,Anomoianthella,Anomoianthella popeae,-11.19,129.72,18,1987-08-13T00:00:00,13,8,1987,0,NA,NA
7,654163,728019541,Demospongiae,Verongiida,Ianthellidae,Anomoianthella,Anomoianthella popeae,-13.33,129.88,5.5,1985-07-21T00:00:00,21,7,1985,0,NA,NA
8,654526,1085959535,Demospongiae,Verongiida,Ianthellidae,Anomoianthella,Anomoianthella popeae,-13.916667,129.883333,NA,1985-07-21T00:00:00,21,7,1985,0,NA,NA
9,539316,1066784720,Demospongiae,Verongiida,Ianthellidae,Anomoianthella,,-4.924367,150.9257,31,2007-10-22T00:00:00,22,10,2007,0,NA,NA
10,537611,1066787036,Demospongiae,Verongiida,Ianthellidae,Anomoianthella,,-21.865,150.555,50,2004-04-26T00:00:00,26,4,2004,0,NA,NA
11,720046,1935811240,Demospongiae,Verongiida,Ianthellidae,Anomoianthella,,-14.3544,124.9488,NA,2015-12-16T00:00:00,16,12,2015,0,NA,NA
12,718564,3901950820,Demospongiae,Verongiida,Ianthellidae,Anomoianthella,,-13.8305,126.1386,NA,2016-03-05T00:00:00,5,3,2016,0,NA,NA
13,718040,1935751474,Demospongiae,Verongiida,Ianthellidae,Anomoianthella,,-15.3766,124.2483,NA,2015-03-15T00:00:00,15,3,2015,0,NA,NA
14,719440,1935775506,Demospongiae,Verongiida,Ianthellidae,Anomoianthella,,-13.5364,125.8465,NA,2016-03-10T00:00:00,10,3,2016,0,NA,NA
15,717961,3901975155,Demospongiae,Verongiida,Ianthellidae,Anomoianthella,,-15.4936,121.6362,NA,2016-10-25T00:00:00,25,10,2016,0,NA,NA
16,728050,1066774221,Demospongiae,Verongiida,Ianthellidae,Anomoianthella,,-24.101944,152.701667,20.8,1996-03-14T00:00:00,14,3,1996,0,NA,NA
